Day,Canada,France,Germany,India,United Kingdom,United States
2021/5/26,9304.929,7411.8584,8115.717,1204.1552,8734.966,4366.4854
2021/5/27,9278.632,7416.098,8237.702,1334.5692,8739.262,4085.5356
2021/5/28,9182.9,7471.4194,8313.714,1383.2595,8726.801,3780.0227
2021/5/29,9020.971,7518.7964,8329.235,1628.2339,8391.577,3493.7441
2021/5/30,9052.309,7440.4395,8331.651,1698.331,8292.496,3379.3867
2021/5/31,9172.88,8014.044,8782.492,1632.015,7943.238,2909.1548
2021/6/1,9393.0205,8210.816,9363.211,1766.7896,7677.003,2842.967
2021/6/2,9479.263,8314.127,9433.574,1729.0656,7379.8975,2709.5415
2021/6/3,9556.75,8428.693,8728.314,1717.9077,7124.885,2667.4412
2021/6/4,9562.994,8582.359,8578.943,2048.6113,6973.1045,2698.5173
2021/6/5,9679.341,8679.214,8589.657,1852.3011,7129.4507,2827.7454
2021/6/6,9697.486,8771.3955,8588.39,1941.8717,7246.9497,2883.6365
2021/6/7,9765.067,8857.65,8637.747,2008.5021,7520.095,3250.3877
2021/6/8,9904.049,8863.612,8841.145,2059.057,7526.825,3206.364
2021/6/9,10116.201,8875.45,9165.275,2122.5115,7466.1343,3226.4246
2021/6/10,10347.981,8804.195,10147.095,2198.5972,7341.962,3192.9211
2021/6/11,10501.918,8762.774,10549.281,2013.9858,7232.519,3119.4983
2021/6/12,10649.609,8762.182,10585.691,2066.2458,7017.791,3043.7961
2021/6/13,10850.726,8754.34,10567.373,2143.6614,6894.2993,2991.48
2021/6/14,10993.942,8739.851,10620.559,2231.89,6788.5825,2924.0193
2021/6/15,11346.069,8754.836,10614.442,2167.2197,6726.5923,2841.2983
2021/6/16,11568.386,8781.944,10500.611,2151.6814,6595.807,2747.8933
2021/6/17,11677.615,8782.123,10398.49,2273.8457,6506.9507,2631.8994
2021/6/18,11798.853,8827.347,10276.773,2270.273,6324.8555,2501.1624
2021/6/19,11807.15,8836.078,10262.247,2477.4844,6203.522,2366.679
2021/6/20,11703.819,8831.602,10290.871,2491.1082,6087.8794,2317.6208
2021/6/21,11552.01,8836.492,10257.508,3062.106,5442.2075,2169.4038
2021/6/22,11639.628,8832.63,10287.872,3462.64,5714.626,2075.1956
